Cartonaș,Întrebare,Sferă,Nr. răspunsuri,% din total,Cluster,Pozitiv,Mixt,Critic,Neutru/Refuz,Opportunity score,Friction score
C3G,România mai puternică în Europa dacă…,Guvernare,16,15.2,România în Europa,50,13,31,6,67.5,34.2
C5G,Când o țară europeană ar trebui ajutată,Guvernare,13,12.4,Solidaritate în criză,100,0,0,0,81.6,0.0
C1G,Decizie UE care îți afectează viitorul,Guvernare,12,11.4,Viitor socio-economic,67,8,8,17,63.9,19.0
C9C,Imagine/simbol care reprezintă Europa,Comunicare,11,10.5,Europa-imaginar,73,18,9,0,63.8,14.0
C10C,Ce nu înțeleg adulții despre comunicarea tinerilor,Comunicare,11,10.5,Decalaj de comunicare,73,18,9,0,63.8,14.0
C4G,Problemă pe care tinerii nu mai acceptă,Guvernare,10,9.5,Cetățenie socială,80,10,10,0,64.1,12.0
C7C,Semnul de neîncredere într-o informație,Comunicare,10,9.5,Media literacy,60,10,20,10,55.1,26.0
C2G,Regulă europeană acceptată pentru binele societății,Guvernare,8,7.6,Trade-off normativ,88,12,0,0,62.1,4.2
C6C,Mesajul principal al UE printr-o poveste,Comunicare,8,7.6,Narațiune europeană,88,12,0,0,62.1,4.2
C8C,Slogan campanie pentru tineri,Comunicare,6,5.7,Mobilizare creativă,100,0,0,0,61.9,0.0
